Data for AMD pp. 265 - 273
1 1 1 100.6
1 1 1 106.8
1 1 1 100.6
1 1 2 110.0
1 1 2 105.8
1 1 3 100.0
1 1 3 102.5
1 1 3 97.6
1 1 3 98.7
1 1 3 98.7
1 1 4 98.2
1 1 4 99.5
1 2 1 92.3
1 2 1 92.0
1 2 1 97.2
1 2 1 93.9
1 2 1 93.0
1 2 2 103.2
1 2 2 100.5
1 2 2 100.2
1 2 2 97.7
1 2 3 96.4
1 2 4 108.0
1 2 4 108.9
1 2 4 107.9
1 3 1 96.9
1 3 1 96.1
1 3 1 100.8
1 3 2 92.5
1 3 2 85.9
1 3 2 85.2
1 3 2 89.4
1 3 2 88.7
1 3 3 86.8
1 3 4 94.4
1 3 4 93.0
1 3 4 91.0
2 1 1 82.6
2 1 2 96.5
2 1 2 100.1
2 1 2 101.9
2 1 2 97.9
2 1 2 95.9
2 1 3 87.9
2 1 3 93.5
2 1 3 88.9
2 1 3 92.8
2 1 4 83.6
2 1 4 82.7
2 1 4 87.7
2 1 4 88.0
2 1 4 82.5
2 2 1 72.7
2 2 2 71.7
2 2 2 72.1
2 2 2 72.4
2 2 2 71.4
2 2 3 78.4
2 2 3 80.4
2 2 3 83.8
2 2 3 77.7
2 2 3 81.2
2 2 4 82.1
2 2 4 79.9
2 2 4 81.9
2 2 4 82.6
2 2 4 78.6
2 3 1 82.5
2 3 1 82.1
2 3 1 82.0
2 3 2 80.9
2 3 2 84.0
2 3 2 82.2
2 3 2 83.4
2 3 2 81.5
2 3 3 96.3
2 3 3 92.4
2 3 3 92.0
2 3 3 95.8
2 3 4 77.7
2 3 4 78.6
2 3 4 77.2
2 3 4 78.8
2 3 4 80.5
3 1 1 107.6
3 1 1 108.8
3 1 1 107.2
3 1 1 104.2
3 1 1 105.4
3 1 2 96.1
3 1 2 98.5
3 1 2 97.3
3 1 2 93.5
3 1 3 101.1
3 1 4 109.1
3 2 1 97.1
3 2 1 94.2
3 2 1 91.5
3 2 1 99.2
3 2 2 91.9
3 2 3 88.0
3 2 3 91.4
3 2 3 90.3
3 2 3 91.5
3 2 3 85.7
3 2 4 89.6
3 2 4 86.0
3 2 4 91.2
3 2 4 87.4
3 3 1 87.1
3 3 2 97.8
3 3 2 95.9
3 3 3 95.9
3 3 3 89.7
3 3 4 101.4
3 3 4 100.1
3 3 4 102.1
3 3 4 98.4
