(step) 9 lines read from  amd249.dat
(step) 16 lines read from  sastmp01.srt
(step) 24 lines read from  sastmp01.srt.mns
(step) 48 lines read from  sastmp01.srt.mns
(step) 128 lines read from  sastmp01.srt.mns.con
(step) 128 lines read from  sastmp01.srt.mns.con
(step) 128 lines read from  sastmp01.srt.mns.con
(step) 128 lines read from  sastmp01.srt.mns.con
(step) 128 lines read from  sastmp01.srt.mns.con
(step) 128 lines read from  sastmp01.srt.mns.con
(step) 192 lines read from  sastmp01.srt.mns.con
(step) 192 lines read from  sastmp01.srt.mns.con
(step) 192 lines read from  sastmp01.srt.mns.con
(step) 192 lines read from  sastmp01.srt.mns.con
