4 -0.233911 0 
5 1.12079 0 
3 2.78278 0 
1 2.82891 0 
2 2.99967 0 
1 3.50278 0 
5 3.66089 0 
0 3.89207 0 
0 4.03802 0 
1 4.05591 0 
5 4.41044 0 
4 4.64586 0 
0 4.71612 0 
5 4.80718 0 
0 5.0804 0 
3 5.20284 0 
2 5.30483 0 
0 5.34817 0 
0 5.4379 0 
0 5.5356 0 
1 5.59607 0 
3 5.682 0 
1 5.69306 0 
5 5.77005 0 
4 5.90343 0 
3 5.92571 0 
5 5.92677 0 
5 6.00471 0 
4 6.16809 1 
4 6.22404 0 
4 6.29058 0 
4 6.41841 0 
3 6.41867 0 
2 6.46212 0 
5 6.50347 0 
0 6.74776 0 
5 7.12029 0 
1 7.26155 0 
3 7.48111 1 
2 7.6491 0 
0 7.66544 0 
5 7.85789 1 
3 8.10388 1 
3 8.62555 1 
4 8.80537 1 
0 8.83944 1 
4 8.86884 0 
5 8.91644 0 
1 9.12556 0 
5 9.16975 1 
4 9.53786 1 
5 9.60464 1 
1 9.85347 0 
0 9.99016 1 
1 10.0413 1 
1 10.1409 1 
1 10.2188 0 
1 10.2976 1 
5 10.3118 1 
1 10.3453 1 
4 10.3646 1 
2 10.6181 1 
4 10.6291 1 
3 10.7216 0 
2 10.7641 0 
0 10.8136 0 
2 10.9327 0 
3 10.9614 1 
2 11.2162 1 
4 11.4726 1 
5 11.5302 1 
4 11.6317 1 
4 11.894 1 
4 11.9507 1 
1 12.4486 1 
4 12.6546 1 
2 12.6615 1 
2 12.8774 1 
5 13.2369 1 
5 13.3873 1 
1 13.7102 1 
0 13.7498 1 
3 13.7651 1 
0 13.7724 1 
4 13.7975 1 
5 13.9105 1 
1 14.238 1 
3 14.2572 1 
4 14.4043 1 
3 14.5327 1 
5 14.6562 1 
3 15.2524 1 
0 15.5317 1 
5 16.1467 1 
1 16.2392 1 
